ID;Tag;Start;Dauer;Avg. HR;RMSSD;SDNN;pNN50;RRmin;RRmean;RRmax;LF;HF;LF/HF;Total
213;16.02.16;05:42:11;0:09:22.870000;46.40227681;117.21;115.43;37.97;999;1293.04;1631;2328.43;4847.05;0.48;7878.46
214;15.02.16;05:37:50;0:10:07.452000;43.16329393;138.49;115.57;40.78;1116;1390.07;1767;1195.77;5667.03;0.21;6977.47
215;14.02.16;06:31:30;0:10:57.254000;41.0739468;151.67;108.41;44.2;1211;1460.78;1769;889.13;7468.19;0.12;8236.12
216;13.02.16;06:57:15;0:08:41.393000;48.89059101;88.95;124.39;26.62;967;1227.23;1817;3388.82;2588.25;1.31;6233.64
217;12.02.16;06:21:52;0:10:33.238000;40.21959901;140.83;129.43;38.81;1151;1491.81;1896;3929.58;4181.84;0.94;8780.09
218;11.02.16;05:40:24;0:10:46.854000;40.20935672;148.91;113.97;39.49;1191;1492.19;1825;2301.73;4573.24;0.5;7039.59
219;10.02.16;06:16:57;0:10:10.653000;42.93657552;103.01;99.65;34.65;1133;1397.41;1637;1558.61;2390.31;0.65;4127.36
220;09.02.16;06:29:21;0:10:27.972000;42.67850284;115.22;128.03;35.29;1110;1405.86;1734;2382.32;2583.29;0.92;5152.46
221;08.02.16;06:07:59;0:10:34.965000;46.05147019;92.12;92.3;29.79;1022;1302.89;1624;1496.7;1751.2;0.85;3383.13
222;07.02.16;06:48:05;0:10:02.526000;43.13970794;135.4;119.12;39.95;1145;1390.83;1731;1872.5;5954.4;0.31;7999.01
223;06.02.16;06:14:36;0:10:14.670000;44.05480418;128.43;141.42;40.41;1042;1361.94;1758;1797.13;4445.51;0.4;6334.87
224;05.02.16;05:20:39;0:10:03.574000;43.76303774;133.53;128.2;40.73;1137;1371.02;1754;1940.05;5107.95;0.38;7169.63
225;04.02.16;05:41:49;0:10:23.366000;41.61031936;150.84;163.34;38.5;1074;1441.95;1827;5596.06;4937.02;1.13;10870
226;03.02.16;05:44:45;0:10:47.120000;48.9612064;82.75;77.05;33.21;979;1225.46;1531;953.96;1905.89;0.5;2937.46
227;02.02.16;05:43:31;0:10:33.869000;45.88278478;101.81;128.43;33.68;968;1307.68;1663;1338.24;1977.35;0.68;3418.38
228;01.02.16;05:25:36;0:10:06.868000;41.6603019;146.81;189.02;38.65;1035;1440.22;1884;5494.97;5099.2;1.08;11302.87
229;31.01.16;06:08:57;0:10:52.143000;46.86108811;108.16;133.74;35.06;986;1280.38;1720;1670.17;3118;0.54;4810.27
230;30.01.16;06:39:14;0:10:13.458000;45.98652595;105.36;133.17;34.7;999;1304.73;1695;2273.39;3009.06;0.76;5481.28
231;29.01.16;05:03:33;0:10:08.412000;48.45626418;87.29;87.42;33.81;1049;1238.23;1579;923.2;2572.78;0.36;3655.23
232;28.01.16;05:30:35;0:10:14.877000;45.57088932;109.81;156.21;32.83;942;1316.63;1857;1309.03;3153.48;0.42;4834.71
233;27.01.16;05:39:04;0:11:04.066000;48.01574917;100.22;152.9;35.22;746;1249.59;1656;2608.81;2903.66;0.9;5667.08
234;26.01.16;05:37:09;0:10:16.966000;41.78214788;145.98;179.3;40.14;979;1436.02;1900;5577.84;5168.76;1.08;11106.68
